"Zipcode","Fair health","Poor health","Harmful Guards","Helpful Guards","Sidewalk Damage","rootstone","rootgrate","rootother","trunkwire","trnklight","trnkother","brchlight","brchshoe","brchother"
10001,0.118138424821002,0.0369928400954654,0,0,0.180190930787589,0.930787589498807,0.949880668257757,0.928400954653938,0,0.996420047732697,0.95346062052506,0.990453460620525,1,0.947494033412888
10002,0.170278637770898,0.0513047324192835,0,0,0.168067226890756,0.833259619637329,0.978770455550641,0.955771782397169,0,0.998673153471915,0.947368421052632,0.993808049535604,0.996904024767802,0.949579831932773
10003,0.178921568627451,0.05,0,0,0.26078431372549,0.793627450980392,0.963235294117647,0.967156862745098,0,0.995588235294118,0.92843137254902,0.983333333333333,0.997058823529412,0.925980392156863
10004,0.168316831683168,0.0297029702970297,0,0,0.0396039603960396,0.871287128712871,0.97029702970297,1,0,1,1,1,1,1
10005,0.395833333333333,0.0972222222222222,0,0,0.0347222222222222,0.965277777777778,0.638888888888889,0.902777777777778,0,1,0.986111111111111,0.993055555555556,1,0.986111111111111
10006,0.147058823529412,0,0,0,0.137254901960784,0.764705882352941,1,0.970588235294118,0,1,0.990196078431373,0.990196078431373,0.990196078431373,0.941176470588235
10007,0.106598984771574,0.0287648054145516,0,0,0.0321489001692047,0.901861252115059,0.969543147208122,0.912013536379019,0,1,0.972927241962775,0.998307952622673,1,0.991539763113367
10009,0.159473684210526,0.0457894736842105,0,0,0.136315789473684,0.856842105263158,0.98,0.973684210526316,0,0.995789473684211,0.964736842105263,0.987368421052632,0.998421052631579,0.965789473684211
10010,0.114735658042745,0.0359955005624297,0,0,0.158605174353206,0.823397075365579,0.967379077615298,0.967379077615298,0,0.99437570303712,0.946006749156355,0.989876265466817,1,0.90888638920135
10011,0.0899031811894882,0.0350391885661595,0,0,0.180267404333794,0.910096818810512,0.951129552789304,0.972798524665745,0,0.999538958045182,0.977408944213923,0.997694790225911,0.999538958045182,0.970493314891655
10012,0.222116301239276,0.0629170638703527,0,0,0.223069590085796,0.674928503336511,0.990467111534795,0.882745471877979,0,0.995233555767397,0.869399428026692,0.972354623450906,0.996186844613918,0.876072449952336
10013,0.225143796220214,0.0747740345110929,0,0,0.118323746918652,0.814297452752671,0.963845521774856,0.931799506984388,0,0.995891536565325,0.889893179950698,0.981101068200493,1,0.935086277732128
10014,0.178183229813665,0.0485248447204969,0,0,0.236024844720497,0.774844720496894,0.968944099378882,0.911490683229814,0,0.994953416149068,0.921195652173913,0.990683229813665,0.998835403726708,0.912267080745342
10016,0.238829787234043,0.0718085106382979,0,0,0.35,0.803723404255319,0.925531914893617,0.879255319148936,0,0.990957446808511,0.888297872340426,0.974468085106383,0.998936170212766,0.823404255319149
10017,0.193127962085308,0.0627962085308057,0,0,0.208530805687204,0.745260663507109,0.861374407582938,0.873222748815166,0,0.991706161137441,0.917061611374408,0.979857819905213,1,0.866113744075829
10018,0.0679611650485437,0.0349514563106796,0,0,0.0640776699029126,0.974757281553398,0.966990291262136,0.869902912621359,0,0.996116504854369,0.994174757281553,0.988349514563107,1,0.970873786407767
10019,0.254545454545455,0.0639296187683285,0,0,0.204692082111437,0.8158357771261,0.839882697947214,0.84692082111437,0,0.990615835777126,0.851026392961877,0.989442815249267,0.997653958944282,0.888563049853372
